เบา	b a w^
จะ	c a
โจมตี	c oo m^ t ii
จุด	c u t^
ชัฟเฟิล	ch a f i n^
ชัท	ch a t^
ชาร์จ	ch aa t^
ดัง	d a ng^
ดาบ	d aa p^
เดิน	d qq n^
ดู	d uu
ฟ้า	f aa
ฟื้น	f vv n^
ให้อาหาร	h a j^ z aa h aa n^
ห้าม	h aa m^
ย่อ	j @@
อยาก	j aa k^
หยุด	j u t^
ก้าว	k aa w^
กิน	k i n^
โกวาจี	k oo w aa c ii
กู๊ดไนท์	k uu o t^ n^
ขอ	kh @@
ข้า	kh aa
ข้าม	kh aa m^
ขี่	kh ii
ขี่่	kh ii xx
ขึ้น	kh v n^
คราฟ	khr aa f^
ขว้าง	khw aa ng^
กลับ	kl a p^
กระโดด	kr a d oo t^
ลา	l aa
เล่น	l e n^
ลง	l o ng^
ลบ	l o p^
ลด	l o t^
เลิก	l qq k^
เลือก	l vva k^
ไม่	m a j^
หมุน	m u n^
หมุุน	m u u n^
นักร้อง	n a k^ r @@ ng^
เงียบ	ng iia p^
เงียบๆ	ng iia p^ ng^
ป้องกัน	p @ ng^ k a n^
ปา	p aa
ปิด	p i t^
เปิด	p qq t^
พอ	ph @@
พอส	ph @@ t^
เผา	ph a w^
เพิ่ม	ph qq m^
เพลง	phl ee ng^
ปล่อย	pl @ j^
เปลี่ยน	pl iia n^
แปลง	pl xx ng^
ประตู	pr a t uu
รีเซท	r ii s t^
เริ่ม	r qq m^
แรนดอม	r xx n^ d @ m^
ใส่	s a j^
สต็อป	s a t @ p^
สร้าง	s aa ng^
สุ่ม	s u m^
ตักลาวา	t a k^ l aa w aa
ตักน้ำ	t a k^ n aa m^
ตี	t ii
ตก	t o k^
ทำไม	th a m^ m a j^
ธนู	th a n uu
ทิ้ง	th i ng^
ถือ	th vv
ว้าย	w aa j^
วาง	w aa ng^
วาร์ป	w aa p^
วิง	w i ng^
วิ่ง	w i ng^
เอา	z a w^
โอ๊ย	z e qq j^
อิ่ม	z i m^
อีก	z ii k^
โอม	z oo m^
